$albert	0.01
ab	0.01
$america	0.01
ameraca	0.01
amercia	0.01
$american	0.01
ameracan	0.01
$april	0.01
apirl	0.01
$austrian	0.01
austrain	0.01
$badcock's	0.01
badcock	0.01
$bechuanaland	0.01
bechuarnia_land	0.01
$botswana	0.01
botuania	0.01
$cambridge	0.01
cambrige	0.01
$canada	0.01
canda	0.01
$chautauqua	0.01
chactuquoe	0.01
chalktwa	0.01
chaqua	0.01
chata	0.01
chatacqua	0.01
chatacque	0.01
chatalkwa	0.01
chataqua	0.01
chataque	0.01
chataukowa	0.01
chataukwa	0.01
chatauwkwa	0.01
chateau	0.01
chatocqua	0.01
chatogua	0.01
chatoukouv	0.01
chattakqua	0.01
chatuaca	0.01
chatwakwa	0.01
chauetouequa	0.01
chauta	0.01
chautakye	0.01
chautaqua	0.01
chautauchua	0.01
chautiqua	0.01
chautogqwa	0.01
chautqua	0.01
chawtakque	0.01
chawtawque	0.01
cheautauqua	0.01
chetdacowa	0.01
chetoquoi	0.01
chicahwa	0.01
chictocua	0.01
chicugta	0.01
chistupa	0.01
chitacque	0.01
chitalka	0.01
chitalkwa	0.01
chitaqua	0.01
chitauqua	0.01
chitoqua	0.01
chittiqua	0.01
chochatta	0.01
chottago	0.01
chouativa	0.01
chtacu	0.01
chuatackqua	0.01
chuatuaque	0.01
chuatuaton	0.01
chutaciqwa	0.01
chutouko	0.01
cuhtawa	0.01
quatauqua	0.01
schtaka	0.01
shatacua	0.01
shatakiwa	0.01
shataqua	0.01
shautalkwa	0.01
shawtachwa	0.01
shawtapwa	0.01
shawtowa	0.01
sheto	0.01
shitaka	0.01
showtalkaw	0.01
showtalkwa	0.01
showtucwa	0.01
catauqua	0.01
chacactur	0.01
chatacuia	0.01
chataqua	0.01
chataque	0.01
chatauchuia	0.01
chatauqua	0.01
chautaucua	0.01
chautauqua	0.01
chetickway	0.01
chictique	0.01
chitacwa	0.01
chitiquea	0.01
chituaquea	0.01
chtoawa	0.01
sechectaquka	0.01
shatakwa	0.01
shtalkwa	0.01
sutalkway	0.01
$christ	0.01
crist	0.01
$christian	0.01
christain	0.01
$christmas	0.01
chrismas	0.01
christ_mas	0.01
christmis	0.01
cristmus	0.01
cristmas	0.01
$cinderella	0.01
cinderrella	0.01
$dec	0.01
des.	0.01
$december	0.01
decmber	0.01
desember	0.01
$dr	0.01
doc	0.01
$dracula's	0.01
draculla's	0.01
$dunstan's	0.01
dunstan	0.01
